connect:socket.fyers.in/hsm/v1-5/prod
SLF4J: Class path contains multiple SLF4J bindings.
SLF4J: Found binding in [jar:file:/Users/em997/Documents/Fyers/Backend/sdks/fyers-java-sdk-internal/target/dependency/hsjavalib-2.1.0-v1.5-22.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: Found binding in [jar:file:/Users/em997/Documents/Fyers/Backend/sdks/fyers-java-sdk-internal/repo/in/tts/hsjavalib/2.1.0-v1.5-22/hsjavalib-2.1.0-v1.5-22.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
SLF4J: Actual binding is of type [org.slf4j.impl.Log4jLoggerFactory]
2025-11-28 10:34:21.379 INFO  [main] App3:56 - Loop 0: Subscribing [NSE:AMBUJACEM-EQ, NSE:BERGEPAINT-EQ, NSE:COLPAL-EQ, NSE:DABUR-EQ]
Loop    0: @10:34:47:119, quote : {"vol_traded_today":"23604","symbol":"NSE:COLPAL-EQ","ask_size":"21","ch":"-3.8","high_price":"2175.2","exch_feed_time":"1764306286","ltp":"2167.5","chp":"-0.18","Yhigh":"311500","type":"sf","avg_trade_price":"2170.52","ask_price":"2167.5","Ylow":"214780","tot_sell_qty":"53811","bid_size":"20","last_traded_qty":"1","low_price":"2165.0","open_price":"2171.3","tot_buy_qty":"53472","turnover":"5123295408","last_traded_time":"1764306284","bid_price":"2166.3","prev_close_price":"2171.3"}
Loop    0: @10:34:47:119, quote : {"vol_traded_today":"95369","symbol":"NSE:DABUR-EQ","ask_size":"614","ch":"-3.55","high_price":"520.45","exch_feed_time":"1764306286","ltp":"515.6","chp":"-0.68","Yhigh":"57700","type":"sf","avg_trade_price":"517.17","ask_price":"515.85","Ylow":"43330","tot_sell_qty":"310251","bid_size":"413","last_traded_qty":"1","low_price":"515.15","open_price":"520.45","tot_buy_qty":"271865","turnover":"4932198573","last_traded_time":"1764306283","bid_price":"515.6","prev_close_price":"519.15"}
Loop    0: @10:34:48:825, quote : {"vol_traded_today":"127463","symbol":"NSE:AMBUJACEM-EQ","ask_size":"342","ch":"2.8","high_price":"551.85","exch_feed_time":"1764306288","ltp":"551.5","chp":"0.51","Yhigh":"62495","type":"sf","avg_trade_price":"549.3","ask_price":"551.75","Ylow":"45500","tot_sell_qty":"287372","bid_size":"675","last_traded_qty":"5","low_price":"546.15","open_price":"549.3","tot_buy_qty":"317247","turnover":"7001542590","last_traded_time":"1764306283","bid_price":"551.5","prev_close_price":"548.7"}
Loop    0: @10:34:50:636, quote : {"vol_traded_today":"127468","symbol":"NSE:AMBUJACEM-EQ","ask_size":"55","ch":"2.8","high_price":"551.85","exch_feed_time":"1764306289","ltp":"551.5","chp":"0.51","Yhigh":"62495","type":"sf","avg_trade_price":"549.3","ask_price":"551.7","Ylow":"45500","tot_sell_qty":"288988","bid_size":"670","last_traded_qty":"5","low_price":"546.15","open_price":"549.3","tot_buy_qty":"315671","turnover":"7001817240","last_traded_time":"1764306287","bid_price":"551.5","prev_close_price":"548.7"}
Loop    0: @10:34:50:636, quote : {"vol_traded_today":"23605","symbol":"NSE:COLPAL-EQ","ask_size":"5","ch":"-3.8","high_price":"2175.2","exch_feed_time":"1764306289","ltp":"2167.5","chp":"-0.18","Yhigh":"311500","type":"sf","avg_trade_price":"2170.52","ask_price":"2167.5","Ylow":"214780","tot_sell_qty":"53804","bid_size":"4","last_traded_qty":"1","low_price":"2165.0","open_price":"2171.3","tot_buy_qty":"53495","turnover":"5123512460","last_traded_time":"1764306286","bid_price":"2166.5","prev_close_price":"2171.3"}
Loop    0: @10:34:52:474, quote : {"vol_traded_today":"23605","symbol":"NSE:COLPAL-EQ","ask_size":"5","ch":"-3.8","high_price":"2175.2","exch_feed_time":"1764306292","ltp":"2167.5","chp":"-0.18","Yhigh":"311500","type":"sf","avg_trade_price":"2170.52","ask_price":"2167.5","Ylow":"214780","tot_sell_qty":"53804","bid_size":"4","last_traded_qty":"2","low_price":"2165.0","open_price":"2171.3","tot_buy_qty":"53495","turnover":"5123512460","last_traded_time":"1764306286","bid_price":"2166.5","prev_close_price":"2171.3"}
Loop    0: @10:34:53:059, quote : {"vol_traded_today":"127468","symbol":"NSE:AMBUJACEM-EQ","ask_size":"55","ch":"3.0","high_price":"551.85","exch_feed_time":"1764306292","ltp":"551.7","chp":"0.55","Yhigh":"62495","type":"sf","avg_trade_price":"549.3","ask_price":"551.7","Ylow":"45500","tot_sell_qty":"288988","bid_size":"670","last_traded_qty":"25","low_price":"546.15","open_price":"549.3","tot_buy_qty":"315671","turnover":"7001817240","last_traded_time":"1764306287","bid_price":"551.5","prev_close_price":"548.7"}
Loop    0: @10:34:54:899, quote : {"vol_traded_today":"23605","symbol":"NSE:COLPAL-EQ","ask_size":"5","ch":"-3.6","high_price":"2175.2","exch_feed_time":"1764306294","ltp":"2167.7","chp":"-0.17","Yhigh":"311500","type":"sf","avg_trade_price":"2170.52","ask_price":"2167.5","Ylow":"214780","tot_sell_qty":"53804","bid_size":"4","last_traded_qty":"1","low_price":"2165.0","open_price":"2171.3","tot_buy_qty":"53495","turnover":"5123512460","last_traded_time":"1764306286","bid_price":"2166.5","prev_close_price":"2171.3"}
Loop    0: @10:34:55:475, quote : {"vol_traded_today":"127493","symbol":"NSE:AMBUJACEM-EQ","ask_size":"14","ch":"3.0","high_price":"551.85","exch_feed_time":"1764306294","ltp":"551.7","chp":"0.55","Yhigh":"62495","type":"sf","avg_trade_price":"549.31","ask_price":"551.65","Ylow":"45500","tot_sell_qty":"290873","bid_size":"670","last_traded_qty":"25","low_price":"546.15","open_price":"549.3","tot_buy_qty":"315445","turnover":"7003317983","last_traded_time":"1764306292","bid_price":"551.5","prev_close_price":"548.7"}
Loop    0: @10:34:55:475, quote : {"vol_traded_today":"23608","symbol":"NSE:COLPAL-EQ","ask_size":"22","ch":"-3.6","high_price":"2175.2","exch_feed_time":"1764306294","ltp":"2167.7","chp":"-0.17","Yhigh":"311500","type":"sf","avg_trade_price":"2170.52","ask_price":"2167.7","Ylow":"214780","tot_sell_qty":"53743","bid_size":"4","last_traded_qty":"1","low_price":"2165.0","open_price":"2171.3","tot_buy_qty":"53507","turnover":"5124163616","last_traded_time":"1764306292","bid_price":"2166.6","prev_close_price":"2171.3"}
